"epaRegion","state","epaSampID","amtMERC","amtPCB","amtPFA","species","feeder"
4,"AL",897553,513,0.146,1.6,"Largemouth bass","P"
4,"AL",100173,86.5,0.031,2.58,"Redear sunfish","P"
4,"AL",125733,561,0.319,0.535,"Largemouth bass","P"
6,"AR",897833,447,0.355,0,"Shortnose gar","P"
6,"AR",103153,203,0.0079,0,"Green sunfish","P"
6,"AR",102093,851,0.0217,0.257,"Spotted bass","P"
6,"AR",896393,174,0.0655,0.201,"Brown trout","P"
6,"AR",896873,143,0.632,1.05,"White bass","P"
6,"AR",896353,217,0.0134,0.286,"Spotted bass","P"
6,"AR",103013,147,0.0506,0,"Channel catfish","BD"
6,"AR",100573,489,0.0119,0.302,"Smallmouth bass","P"
6,"AR",100913,131,0.512,1.04,"Freshwater drum","P"
6,"AR",102973,407,0.053,0.98,"Largemouth bass","P"
9,"AZ",116213,91.8,0.0678,0.535,"Common carp","BD"
9,"CA",117633,238,0.00483,0.12,"Largemouth bass","P"
8,"CO",895673,222,0.00555,0,"Channel catfish","BD"
8,"CO",895873,68.8,0.0222,0,"Brown trout","P"
1,"CT",894793,119,0.187,1.46,"Yellow perch","P"
1,"CT",102573,226,0.47,0.84,"Yellow perch","P"
1,"CT",131693,287,0.207,1.02,"Yellow perch","P"
1,"CT",135173,216,3.83,0.134,"Channel catfish","BD"
1,"CT",116813,240,0.72,0.389,"White sucker","BD"
1,"CT",131753,182,0.883,1.41,"Black crappie","P"
1,"CT",126373,429,3.37,0.66,"Smallmouth bass","P"
1,"CT",136293,152,0.371,0.722,"Yellow perch","P"
3,"DE",109953,121,2.32,29.8,"Largemouth bass","P"
3,"DE",130213,201,0.92,3.62,"Smallmouth bass","P"
3,"DE",120433,276,0.109,0.214,"Chain pickerel","P"
3,"DE",131913,113,0.119,2.18,"White perch","P"
3,"DE",130233,105,0.262,1.59,"Largemouth bass","P"
4,"FL",127933,560,0.0511,0.444,"Largemouth bass","P"
4,"FL",125233,262,0.0408,1.53,"Largemouth bass","P"
4,"FL",108553,380,0.0425,0.281,"Redbreast sunfish","P"
4,"FL",109373,525,0.031,0.515,"Largemouth bass","P"
4,"FL",133633,505,0.0357,0.278,"Largemouth bass","P"
4,"GA",127033,508,0.257,0.999,"Largemouth bass","P"
