"epaRegion","state","species","lMerc","lPCB","feeder"
4,"AL","Largemouth bass",6.24027584517077,-1.9241486572738,"P"
4,"AL","Redear sunfish",4.46014441393783,-3.47376807449699,"P"
4,"AL","Largemouth bass",6.3297209055227,-1.14256417619729,"P"
6,"AR","Shortnose gar",6.10255859461357,-1.03563748950672,"P"
6,"AR","Green sunfish",5.31320597904179,-4.84089251950916,"P"
6,"AR","Spotted bass",6.74641212857337,-3.83044301843572,"P"
6,"AR","Brown trout",5.15905529921453,-2.72570513634093,"P"
6,"AR","White bass",4.96284463025991,-0.45886588483528,"P"
6,"AR","Spotted bass",5.37989735354046,-4.31250057202527,"P"
6,"AR","Channel catfish",4.99043258677874,-2.98380370268872,"BD"
6,"AR","Smallmouth bass",6.19236248947487,-4.43121687886465,"P"
6,"AR","Freshwater drum",4.87519732320115,-0.669430653942629,"P"
6,"AR","Largemouth bass",6.00881318544259,-2.93746336543002,"P"
9,"AZ","Common carp",4.51961229762644,-2.69119308403579,"BD"
9,"CA","Largemouth bass",5.47227067367148,-5.33290881131766,"P"
8,"CO","Channel catfish",5.40267738187228,-5.19395735122379,"BD"
8,"CO","Brown trout",4.2312037449393,-3.8076629901039,"P"
1,"CT","Yellow perch",4.77912349311153,-1.67664666212755,"P"
1,"CT","Yellow perch",5.42053499927229,-0.755022584278033,"P"
1,"CT","Yellow perch",5.65948221575962,-1.57503648571677,"P"
1,"CT","Channel catfish",5.37527840768417,1.34286480319255,"BD"
1,"CT","White sucker",5.48063892334199,-0.328504066972036,"BD"
1,"CT","Black crappie",5.2040066870768,-0.124430078378177,"P"
1,"CT","Smallmouth bass",6.06145691892802,1.21491274436427,"P"
1,"CT","Yellow perch",5.02388052084628,-0.991553216374702,"P"
3,"DE","Largemouth bass",4.79579054559674,0.841567185678219,"P"
3,"DE","Smallmouth bass",5.30330490805908,-0.083381608939051,"P"
3,"DE","Chain pickerel",5.62040086571715,-2.21640739675299,"P"
3,"DE","White perch",4.72738781871234,-2.12863178587061,"P"
3,"DE","Largemouth bass",4.65396035015752,-1.33941077522104,"P"
4,"FL","Largemouth bass",6.32793678372919,-2.97397078177248,"P"
4,"FL","Largemouth bass",5.5683445037611,-3.19907319757202,"P"
4,"FL","Redbreast sunfish",5.94017125272043,-3.15825120305177,"P"
4,"FL","Largemouth bass",6.26339826259162,-3.47376807449699,"P"
4,"FL","Largemouth bass",6.22455842927536,-3.33260459019654,"P"
4,"GA","Largemouth bass",6.23048144757848,-1.35867919408692,"P"
4,"GA","Flathead catfish",4.49423862528081,-1.76026080216868,"BD"
4,"GA","Channel catfish",4.45667017766965,-0.261364764134408,"BD"
4,"GA","Shoal bass",5.14166355650266,-0.908818717035454,"P"
4,"GA","Channel catfish",4.02891675689965,0.936093359170335,"BD"
4,"GA","Largemouth bass",4.969813299576,-2.86470401114759,"P"
4,"GA","Largemouth bass",4.98360662170834,0.457424847038875,"P"
7,"IA","Channel catfish",4.02891675689965,-1.76609172247948,"BD"
7,"IA","Channel catfish",4.47506150064107,-0.0965109003808437,"BD"
7,"IA","Smallmouth bass",6.11368217983223,-1.19072757757592,"P"
7,"IA","Smallmouth bass",5.86929691313377,-2.71961683747368,"P"
7,"IA","Smallmouth bass",5.10594547390058,-1.08175517160169,"P"
7,"IA","Channel catfish",3.76815263500844,-2.40683511436785,"BD"
